name,version,directory,repository,summary,from package.json,from license,from readme
react-typewriter,0.4.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/react-typewriter,https://github.com/ianbjorndilling/react-typewriter,MIT,MIT,MIT,
recast,0.10.43,/Users/Joe/Dropbox/Projects/portfolio/node_modules/recast,http://github.com/benjamn/recast,MIT,MIT,,
redbox-react,1.3.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/redbox-react,https://github.com/commissure/redbox-react,MIT,MIT,MIT,
redis,2.6.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/redis,http://github.com/NodeRedis/node_redis,MIT,MIT,,
redis-commands,1.3.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/redis-commands,https://github.com/NodeRedis/redis-commands,MIT,MIT,MIT,
redis-parser,2.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/redis-parser,https://github.com/NodeRedis/node-redis-parser,MIT,MIT,MIT,
redux,3.6.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/redux,https://github.com/reactjs/redux,MIT,MIT,MIT,MIT
regenerator-runtime,0.9.5,/Users/Joe/Dropbox/Projects/portfolio/node_modules/regenerator-runtime,https://github.com/facebook/regenerator/tree/master/packages/regenerator-runtime,MIT,MIT,,
scroll-behavior,0.9.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/scroll-behavior,https://github.com/taion/scroll-behavior,MIT,MIT,MIT,
send,0.14.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/send,https://github.com/pillarjs/send,MIT,MIT,MIT,
serve-static,1.11.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/serve-static,https://github.com/expressjs/serve-static,MIT,MIT,MIT,
setprototypeof,1.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/setprototypeof,https://github.com/wesleytodd/setprototypeof,ISC,ISC,,
shortid,2.2.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/shortid,https://github.com/dylang/shortid,MIT,MIT,MIT,
source-map,0.4.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/source-map,ssh://git@github.com/mozilla/source-map,BSD-3-Clause,BSD-3-Clause,,
source-map,0.5.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/recast/node_modules/source-map,ssh://git@github.com/mozilla/source-map,BSD-3-Clause,BSD-3-Clause,,
stackframe,0.3.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/stackframe,http://github.com/stacktracejs/stackframe,SEE LICENSE IN LICENSE,SEE LICENSE IN LICENSE,,
statuses,1.3.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/statuses,https://github.com/jshttp/statuses,MIT,MIT,MIT,
strict-uri-encode,1.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/strict-uri-encode,https://github.com/kevva/strict-uri-encode,MIT,MIT,MIT,MIT
strip-ansi,3.0.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/strip-ansi,https://github.com/chalk/strip-ansi,MIT,MIT,MIT,MIT
supports-color,2.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/chalk/node_modules/supports-color,https://github.com/chalk/supports-color,MIT,MIT,MIT,MIT
symbol-observable,1.0.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/symbol-observable,https://github.com/blesh/symbol-observable,MIT,MIT,MIT,MIT
through,2.3.8,/Users/Joe/Dropbox/Projects/portfolio/node_modules/through,https://github.com/dominictarr/through,MIT,MIT,MIT,MIT
timrjs,0.9.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/timrjs,https://github.com/joesmith100/timrjs,MIT,MIT,MIT,MIT
to-fast-properties,1.0.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/to-fast-properties,https://github.com/sindresorhus/to-fast-properties,MIT,MIT,MIT,MIT
type-is,1.6.13,/Users/Joe/Dropbox/Projects/portfolio/node_modules/type-is,https://github.com/jshttp/type-is,MIT,MIT,MIT,
ua-parser-js,0.7.10,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ua-parser-js,https://github.com/faisalman/ua-parser-js,GPL;GPLv2;MIT,GPLv2;MIT,,GPL;MIT
unpipe,1.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/unpipe,https://github.com/stream-utils/unpipe,MIT,MIT,MIT,
utils-merge,1.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/utils-merge,http://github.com/jaredhanson/utils-merge,MIT,MIT,MIT,MIT
vary,1.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/vary,https://github.com/jshttp/vary,MIT,MIT,MIT,
warning,2.1.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/history/node_modules/warning,https://github.com/r3dm/warning,BSD;BSD-2-Clause,BSD-2-Clause,BSD,
warning,3.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/warning,https://github.com/BerkeleyTrue/warning,BSD;BSD-3-Clause,BSD-3-Clause,BSD,
whatwg-fetch,0.9.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/react-typewriter/node_modules/whatwg-fetch,https://github.com/github/fetch,MIT,MIT,,
whatwg-fetch,1.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/whatwg-fetch,https://github.com/github/fetch,MIT,MIT,,
wrappy,1.0.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/wrappy,https://github.com/npm/wrappy,ISC,ISC,ISC,
